frame,id,label,conf,center_x,center_y
61,1,person,0.8397569060325623,795,383
61,3,person,0.7883550524711609,486,326
61,9,person,0.7274813652038574,147,160
61,11,person,0.7051444053649902,305,256
61,14,person,0.684815526008606,665,224
61,14,person,0.6477466225624084,618,262
61,12,person,0.6395825743675232,85,191
61,16,person,0.5533579587936401,69,357
61,19,person,0.5133846998214722,405,258
61,2,person,0.5046331286430359,499,193
62,1,person,0.8268955945968628,796,387
62,16,person,0.769831657409668,70,350
62,15,person,0.7533281445503235,668,218
62,3,person,0.7490066885948181,489,325
62,9,person,0.7160830497741699,150,161
62,14,person,0.7097402215003967,619,256
62,11,person,0.6934012770652771,306,255
62,12,person,0.6765667200088501,85,191
62,12,person,0.5633212327957153,57,187
63,16,person,0.8625563383102417,71,350
63,1,person,0.832781970500946,795,388
63,9,person,0.7381030917167664,152,159
63,15,person,0.7298923134803772,670,216
63,12,person,0.7015950083732605,85,187
63,11,person,0.6927448511123657,307,256
63,14,person,0.6865934133529663,619,257
63,3,person,0.6608757972717285,489,324
63,12,person,0.550678551197052,54,188
63,4,person,0.5060694813728333,405,129
64,1,person,0.7951710224151611,796,390
64,9,person,0.7940796613693237,156,157
64,16,person,0.7527809143066406,73,350
64,15,person,0.7316687703132629,671,218
64,11,person,0.7235767245292664,306,255
64,3,person,0.7042137384414673,489,325
64,14,person,0.6711787581443787,620,255
64,12,person,0.6218588948249817,85,189
64,12,person,0.5912430882453918,53,187
65,16,person,0.9078823924064636,74,349
65,9,person,0.8103509545326233,158,158
65,1,person,0.7954110503196716,801,391
65,11,person,0.7070558071136475,305,255
65,15,person,0.6831380724906921,674,217
65,3,person,0.6344016790390015,492,325
65,12,person,0.5978102087974548,51,187
65,12,person,0.592406690120697,85,187
65,4,person,0.519038200378418,409,129
66,16,person,0.9181310534477234,76,349
66,9,person,0.814932644367218,164,159
66,1,person,0.7658193707466125,802,393
66,11,person,0.7216734290122986,304,254
66,3,person,0.7053200006484985,492,325
66,15,person,0.6549411416053772,677,213
66,14,person,0.626214861869812,622,252
66,12,person,0.617093563079834,85,186
66,12,person,0.5693780183792114,49,186
66,4,person,0.5188053846359253,410,127
67,16,person,0.9131556153297424,78,349
67,9,person,0.8475505709648132,165,158
67,11,person,0.7066284418106079,303,254
67,1,person,0.6989389657974243,804,394
67,14,person,0.6277765035629272,624,250
67,3,person,0.6234249472618103,494,325
67,12,person,0.5918695330619812,85,187
67,12,person,0.5493425726890564,48,187
68,16,person,0.9212387800216675,79,349
68,9,person,0.8596359491348267,167,158
68,1,person,0.7752360701560974,805,395
68,11,person,0.6817334890365601,301,252
68,3,person,0.6499713063240051,495,325
68,14,person,0.6200442314147949,626,248
68,12,person,0.5996694564819336,84,193
68,12,person,0.5460211038589478,46,186
68,7,person,0.5107881426811218,607,197
69,16,person,0.930389940738678,80,349
69,9,person,0.8463827967643738,168,159
69,1,person,0.8284590840339661,807,397
69,7,person,0.6541762351989746,629,246
69,15,person,0.6485864520072937,680,222
69,3,person,0.6452496647834778,495,325
69,12,person,0.6280770301818848,81,191
69,8,person,0.5475229620933533,607,196
69,11,person,0.5343061685562134,302,252
69,12,person,0.5198173522949219,43,171
70,16,person,0.9351580739021301,82,348
70,9,person,0.8456763029098511,169,158
70,1,person,0.8372842669487,808,400
70,15,person,0.7516723871231079,682,220
70,12,person,0.7282655239105225,84,198
